#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04010	MAPK signaling pathway	8	286	0.92	0.98	2.31e-05	9606.ENSP00000249071,9606.ENSP00000278568,9606.ENSP00000289104,9606.ENSP00000304283,9606.ENSP00000314067,9606.ENSP00000360021,9606.ENSP00000376317,9606.ENSP00000394560	RAC2,PAK1,MRAS,RAC3,PAK2,GNG12,TAOK3,MAPK9
hsa05218	Melanoma	5	72	1.32	1.26	2.31e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa04210	Apoptosis	6	131	1.14	1.14	2.48e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04910	Insulin signaling pathway	6	132	1.13	1.14	2.55e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa05220	Chronic myeloid leukemia	5	75	1.3	1.23	2.66e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05162	Measles	6	137	1.12	1.11	3.06e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04550	Signaling pathways regulating pluripotency of stem cells	6	141	1.1	1.09	3.55e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,CTNNB1,PIK3CB
hsa04932	Non-alcoholic fatty liver disease	6	146	1.09	1.07	4.25e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa05224	Breast cancer	6	146	1.09	1.07	4.25e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,CTNNB1,PIK3CB
hsa05226	Gastric cancer	6	146	1.09	1.07	4.25e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,CTNNB1,PIK3CB
hsa04218	Cellular senescence	6	150	1.08	1.05	4.77e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000289104,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,MRAS,PIK3CD,PIK3R1,PIK3CB
hsa04211	Longevity regulating pathway	5	87	1.23	1.14	4.89e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	5	87	1.23	1.14	4.89e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05165	Human papillomavirus infection	8	324	0.87	0.9	4.92e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000331902,9606.ENSP00000366563,9606.ENSP00000379350,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,COL4A5,PIK3CD,ITGB1,PIK3R1,CTNNB1,PIK3CB
hsa05160	Hepatitis C	6	157	1.06	1.02	5.88e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,CTNNB1,PIK3CB
hsa05161	Hepatitis B	6	158	1.05	1.02	6.02e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa05206	MicroRNAs in cancer	6	159	1.05	1.01	6.17e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000482457,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PLCG2,PIK3CB
hsa05130	Pathogenic Escherichia coli infection	6	187	0.98	0.9	0.00015	9606.ENSP00000278568,9606.ENSP00000314067,9606.ENSP00000346671,9606.ENSP00000353864,9606.ENSP00000379350,9606.ENSP00000394560	PAK1,PAK2,FYN,PAK3,ITGB1,MAPK9
hsa04152	AMPK signaling pathway	5	120	1.09	0.94	0.00020	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05166	Human T-cell leukemia virus 1 infection	6	210	0.93	0.83	0.00027	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04915	Estrogen signaling pathway	5	133	1.05	0.88	0.00031	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa04520	Adherens junction	4	69	1.24	0.96	0.00033	9606.ENSP00000249071,9606.ENSP00000304283,9606.ENSP00000346671,9606.ENSP00000495360	RAC2,RAC3,FYN,CTNNB1
hsa04150	mTOR signaling pathway	5	150	1.0	0.82	0.00053	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05010	Alzheimer disease	7	354	0.77	0.69	0.00061	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,MAPK9,PIK3R1,CTNNB1,PIK3CB
hsa04630	JAK-STAT signaling pathway	5	158	0.98	0.79	0.00066	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05164	Influenza A	5	163	0.96	0.77	0.00075	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05203	Viral carcinogenesis	5	183	0.91	0.71	0.0012	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CD,PIK3R1,PIK3CB
hsa05416	Viral myocarditis	3	55	1.21	0.73	0.0029	9606.ENSP00000249071,9606.ENSP00000304283,9606.ENSP00000346671	RAC2,RAC3,FYN
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	3	65	1.14	0.67	0.0045	9606.ENSP00000278568,9606.ENSP00000394560,9606.ENSP00000482457	PAK1,MAPK9,PLCG2
hsa04310	Wnt signaling pathway	4	154	0.89	0.58	0.0057	9606.ENSP00000249071,9606.ENSP00000304283,9606.ENSP00000394560,9606.ENSP00000495360	RAC2,RAC3,MAPK9,CTNNB1
hsa04020	Calcium signaling pathway	4	191	0.8	0.49	0.0120	9606.ENSP00000360431,9606.ENSP00000388631,9606.ENSP00000479636,9606.ENSP00000482457	PLCE1,PLCD4,PLCD3,PLCG2
hsa05145	Toxoplasmosis	3	103	0.94	0.5	0.0156	9606.ENSP00000379350,9606.ENSP00000394560,9606.ENSP00000480157	ITGB1,MAPK9,PIK3R6
