gene_id	ranks.Parkin
ENSG00000008394	4.0730169732245
ENSG00000185100	4.07085894902398
ENSG00000295249	4.06745626829302
ENSG00000291131	4.05705682861546
ENSG00000177791	4.05554575887462
ENSG00000164089	4.05093604504151
ENSG00000175548	4.04696365336388
ENSG00000211459	4.0421939316976
ENSG00000167244	4.02857071521704
ENSG00000148450	4.02651601639709
ENSG00000105605	4.02519358031132
ENSG00000231233	4.01976771128203
ENSG00000228232	4.01130504884467
ENSG00000132406	4.00819905089493
ENSG00000175426	3.9951059925197
ENSG00000141971	3.99076900052509
ENSG00000119138	3.99067911715395
ENSG00000122873	3.98536539774015
ENSG00000214872	3.97927861810579
ENSG00000145741	3.97232357557173
ENSG00000205138	3.97146139303373
ENSG00000108176	3.95976658741715
ENSG00000261829	3.95928737597289
ENSG00000267498	3.9556079479357
ENSG00000105327	3.94991034770898
ENSG00000219545	3.94564801046689
ENSG00000010278	3.94512368604769
ENSG00000226742	3.93970235327678
ENSG00000272870	3.93122024408055
ENSG00000273066	3.93011907041042
ENSG00000198342	3.91238092728307
ENSG00000184524	3.90448414508311
ENSG00000183513	3.90296377944995
ENSG00000125531	3.90288443927057
ENSG00000177030	3.89260963002295
ENSG00000103091	3.89106576145652
ENSG00000151470	3.88893061306102
ENSG00000173918	3.88602254725867
ENSG00000099864	3.88496611051026
ENSG00000186235	3.88430639381127
ENSG00000136842	3.8824433918782
ENSG00000159871	3.8719742730811
ENSG00000183401	3.87046958718278
ENSG00000196562	3.86823824361066
ENSG00000129514	3.8660275069498
ENSG00000228878	3.85718500497184
ENSG00000227210	3.85684295528214
ENSG00000165898	3.85551888651364
ENSG00000115109	3.84945070755251
ENSG00000133027	3.84667360666746
ENSG00000166676	3.84226446693274
ENSG00000146963	3.82768565610044
ENSG00000225156	3.82681972523893
ENSG00000291835	3.82402646973432
ENSG00000137752	3.80897012886339
ENSG00000005059	3.80837262514819
ENSG00000248309	3.8075836531805
ENSG00000225194	3.80711111514716
ENSG00000164638	3.80677472087856
ENSG00000124615	3.80540758146245
ENSG00000167363	3.80342383708727
ENSG00000064225	3.80114590036093
ENSG00000197859	3.79942567900782
ENSG00000086666	3.79844681694787
ENSG00000166573	3.79816629349768
ENSG00000177990	3.78914205823242
ENSG00000065621	3.7887495966176
ENSG00000233927	3.78859370081771
ENSG00000129158	3.78804191731047
ENSG00000287550	3.78778755732137
ENSG00000159263	3.7867661848572
ENSG00000167281	3.7862726610415
ENSG00000231754	3.7818397357047
ENSG00000272902	3.77443074153042
ENSG00000233452	3.77203341792732
ENSG00000163536	3.76743581739197
ENSG00000177576	3.76635671559225
ENSG00000106605	3.75765142451229
ENSG00000204291	3.75692552564389
ENSG00000133597	3.75391658109605
ENSG00000144369	3.75252670613817
ENSG00000145687	3.75132089886477
ENSG00000273847	3.7418753299383
ENSG00000196704	3.73878883988903
ENSG00000260418	3.73341372004063
ENSG00000116690	3.73312193748592
ENSG00000165912	3.73114347827296
ENSG00000233639	3.73055351773292
ENSG00000138031	3.72933630594616
ENSG00000129993	3.72793240205604
ENSG00000156103	3.72638083271384
ENSG00000185133	3.71754872207577
ENSG00000159335	3.71741919234377
ENSG00000134871	3.71664294663
ENSG00000126602	3.70910794732913
ENSG00000218739	3.70564351581841
ENSG00000143013	3.70330979872131
ENSG00000186732	3.7010206884098
ENSG00000105372	3.69713109264239
ENSG00000258983	3.69698223601493
ENSG00000177133	3.69376239481079
ENSG00000182492	3.6883868451279
ENSG00000150361	3.68809160079425
ENSG00000130731	3.6737795050215
ENSG00000140320	3.67374317242572
ENSG00000164093	3.66838861116388
ENSG00000104946	3.66601102077905
ENSG00000096968	3.66319607789982
ENSG00000205704	3.66194276954524
ENSG00000145147	3.65975463837547
ENSG00000156500	3.65567385318036
ENSG00000089486	3.65507018729894
ENSG00000143786	3.65063699747734
ENSG00000185666	3.64989016198652
ENSG00000105509	3.64907399122295
ENSG00000131748	3.64353948123938
ENSG00000277586	3.64179429341544
ENSG00000272335	3.63974572057646
ENSG00000162458	3.6397439205003
ENSG00000042493	3.63515365737804
ENSG00000169189	3.63293441650361
ENSG00000239713	3.63198029813962
ENSG00000205832	3.63137224830053
ENSG00000124507	3.62204786766445
ENSG00000166863	3.62070062056475
ENSG00000148600	3.62035244323589
ENSG00000172346	3.61654813019025
ENSG00000164733	3.61556207487259
ENSG00000278875	3.61481722314291
ENSG00000236502	3.61271791506696
ENSG00000175575	3.61039290341506
ENSG00000149488	3.6062299370039
ENSG00000171877	3.60603079821734
ENSG00000290114	3.59632577149971
ENSG00000172350	3.58547673767935
ENSG00000124006	3.58235836780481
ENSG00000223573	3.58076884455636
ENSG00000197457	3.57996425470067
ENSG00000113356	3.57474897986177
ENSG00000185519	3.57286999813446
ENSG00000131771	3.57029948532205
ENSG00000121680	3.56886116798208
ENSG00000160190	3.56839236531355
ENSG00000089351	3.56643568739009
ENSG00000169629	3.56574051774194
ENSG00000138944	3.55458146634599
ENSG00000158987	3.54641677226001
ENSG00000179772	3.54605712882549
ENSG00000179981	3.54446162821434
ENSG00000168348	3.54355780598077
ENSG00000293413	3.5390421736181
ENSG00000174370	3.53893292692105
ENSG00000142408	3.53802649509874
ENSG00000273226	3.53348226034008
ENSG00000133110	3.53230228431453
ENSG00000241973	3.53006621256985
ENSG00000273437	3.52919078359071
ENSG00000302043	3.52911958915237
ENSG00000168743	3.52383792266123
ENSG00000102763	3.51705596476097
ENSG00000083807	3.51267028599513
ENSG00000130159	3.50684705930769
ENSG00000165905	3.50082191225598
ENSG00000134146	3.49965387849074
ENSG00000037042	3.49655702997053
ENSG00000043143	3.49275660162569
ENSG00000135299	3.49132503778278
ENSG00000134769	3.49115532197428
ENSG00000196456	3.48857310335675
ENSG00000269091	3.48392848301826
ENSG00000112309	3.48374063991534
ENSG00000242512	3.48354071015225
ENSG00000197582	3.48157381504402
ENSG00000160293	3.48114240683506
ENSG00000163864	3.47960891302603
ENSG00000115461	3.47703031190296
ENSG00000168028	3.47652756399332
ENSG00000136928	3.47342519864734
ENSG00000110031	3.47253841188327
ENSG00000149090	3.47149338244492
ENSG00000148541	3.4688543508411
ENSG00000164398	3.46632429748326
ENSG00000139344	3.46605357361235
ENSG00000084754	3.46556388611909
ENSG00000289222	3.46485604733215
ENSG00000289480	3.46436248728034
ENSG00000141574	3.46286615006575
ENSG00000170425	3.46031405698451
ENSG00000105472	3.45355353137852
ENSG00000249859	3.44790142994292
ENSG00000124243	3.44571751609354
ENSG00000309247	3.44334544538589
ENSG00000259974	3.4390853625795
ENSG00000278840	3.43844854437667
ENSG00000106689	3.43557881435374
ENSG00000063046	3.43449428723068
ENSG00000179058	3.43240156842182
ENSG00000276482	3.42853964188131
ENSG00000083845	3.42180310707639
ENSG00000175221	3.42123128283168
ENSG00000266256	3.4180950122912
ENSG00000182362	3.41798540926137
ENSG00000111321	3.41683878392806
ENSG00000285407	3.41536056006547
ENSG00000135093	3.41037024865331
ENSG00000163273	3.40879581301727
ENSG00000241163	3.4064116872307
ENSG00000305306	3.4043177209155
ENSG00000179889	3.40224951721474
ENSG00000185386	3.39076011344885
ENSG00000127249	3.3900868516804
ENSG00000082458	3.38582757872879
ENSG00000116251	3.38363094640494
ENSG00000129194	3.38178685526906
ENSG00000263247	3.38065735468488
ENSG00000197467	3.37596905035187
ENSG00000124596	3.37573380435149
ENSG00000106976	3.37018061009496
ENSG00000136149	3.36932998273241
ENSG00000095303	3.36920588185494
ENSG00000077782	3.36721295011654
ENSG00000305511	3.36599531344023
ENSG00000167173	3.36322883104087
ENSG00000286721	3.36266813687529
ENSG00000144908	3.3526674918443
ENSG00000295355	3.3506867731459
ENSG00000137876	3.3463562169432
ENSG00000187091	3.34445707285822
ENSG00000172403	3.34208840383489
ENSG00000104863	3.34008946229458
ENSG00000053438	3.33935134526351
ENSG00000164099	3.33792643292908
ENSG00000308204	3.33634009339622
ENSG00000196636	3.32651054262354
ENSG00000171314	3.32478086755367
