gene_id	ranks.lrrk2
ENSG00000074935	9.16324626204711
ENSG00000169255	9.15528199798308
ENSG00000129990	9.13411444994097
ENSG00000139438	9.09082959482575
ENSG00000291147	9.07117383391147
ENSG00000236814	9.06635293217216
ENSG00000215114	9.06135317205163
ENSG00000180113	9.04359251785429
ENSG00000140961	9.01619768808854
ENSG00000075089	9.01539790595879
ENSG00000137817	9.00935321660433
ENSG00000137252	8.99933803856957
ENSG00000267060	8.99588940982539
ENSG00000110881	8.99398163437368
ENSG00000107295	8.99261657613412
ENSG00000229205	8.97900673079678
ENSG00000234771	8.95559167863636
ENSG00000135334	8.93571798442856
ENSG00000197093	8.90823574055725
ENSG00000183783	8.88913232742467
ENSG00000306252	8.85393907213574
ENSG00000145247	8.818460752745
ENSG00000279853	8.81085520831392
ENSG00000108576	8.80312534935275
ENSG00000302043	8.79400501073065
ENSG00000234651	8.78884557946635
ENSG00000268205	8.76769210648316
ENSG00000197106	8.7261365703692
ENSG00000291093	8.71043952534995
ENSG00000170381	8.69666056323702
ENSG00000197291	8.69138536656765
ENSG00000180720	8.62973239372222
ENSG00000066382	8.60547693625885
ENSG00000104154	8.60465783960682
ENSG00000115902	8.57934790496995
ENSG00000277200	8.49802381916459
ENSG00000261115	8.49684143608935
ENSG00000143469	8.48689597627763
ENSG00000198300	8.47743550100012
ENSG00000206562	8.47403717035526
ENSG00000126351	8.4483019379447
ENSG00000242588	8.44388439063591
ENSG00000071575	8.39710279791294
ENSG00000146216	8.38015506565253
ENSG00000157224	8.37743316258826
ENSG00000279489	8.28859715698405
ENSG00000141644	8.27623391712728
ENSG00000261754	8.27184607837172
ENSG00000197818	8.24496175494741
ENSG00000143367	8.24200054603174
ENSG00000236354	8.20931239534508
ENSG00000213626	8.20558273682594
ENSG00000125869	8.19661051655205
ENSG00000225978	8.17731382065936
ENSG00000110693	8.17101258132891
ENSG00000135900	8.16723483243845
ENSG00000287721	8.1594712246381
ENSG00000072182	8.14956540694634
ENSG00000271344	8.14785951846956
ENSG00000232903	8.13903408890598
ENSG00000138443	8.12441796237596
ENSG00000164976	8.10180191116443
ENSG00000109854	8.08859760550786
ENSG00000129646	8.07055180072025
ENSG00000172260	8.06553843100743
ENSG00000173875	8.04464119895794
ENSG00000133985	8.01783868698155
ENSG00000153443	8.00298921324124
ENSG00000140285	7.98934923807322
ENSG00000176761	7.98549872219928
ENSG00000101350	7.9789680743288
ENSG00000183570	7.97178032967112
ENSG00000011332	7.95535695790701
ENSG00000226067	7.95254978669037
ENSG00000188803	7.93944848490462
ENSG00000170579	7.93506769789335
ENSG00000154736	7.93024041069318
ENSG00000250510	7.91771920465703
ENSG00000176407	7.91675823932873
ENSG00000184492	7.91027413233082
ENSG00000293627	7.90204336250829
ENSG00000100292	7.89014605408615
ENSG00000182722	7.88399762179241
ENSG00000004866	7.87301893606094
ENSG00000137502	7.87075815709548
ENSG00000302022	7.85801922389217
ENSG00000217702	7.85667020029133
ENSG00000079102	7.85324917824795
ENSG00000175764	7.83634985888219
ENSG00000293141	7.82598556023238
ENSG00000167703	7.81865796657087
ENSG00000114098	7.8175174962736
ENSG00000004766	7.79017537534592
