gene_id	ranks.B
ENSG00000096717	6.5223914761181
ENSG00000224223	6.51719304321034
ENSG00000196083	6.51011601031481
ENSG00000009335	6.50762967094232
ENSG00000163171	6.50368308893305
ENSG00000152684	6.49820202303876
ENSG00000104164	6.48958321250265
ENSG00000277767	6.47012490040581
ENSG00000090674	6.46367679940984
ENSG00000227906	6.45154129197311
ENSG00000170482	6.44816371200108
ENSG00000108576	6.44734209072998
ENSG00000006695	6.43524840982997
ENSG00000167772	6.43459513656834
ENSG00000162825	6.41855592376495
ENSG00000170396	6.41079923205497
ENSG00000144339	6.39581073342723
ENSG00000294822	6.39170241518693
ENSG00000119669	6.3887378452474
ENSG00000135392	6.38695203082705
ENSG00000159200	6.38637114969815
ENSG00000130159	6.38622896832026
ENSG00000085365	6.38525665838358
ENSG00000159082	6.38250574920877
ENSG00000004478	6.37901697853665
ENSG00000143473	6.37717721858675
ENSG00000118257	6.36738375292687
ENSG00000165323	6.36487085422621
ENSG00000081386	6.36071357301595
ENSG00000253276	6.35811280769601
ENSG00000206500	6.34963060029382
ENSG00000107242	6.3467264326597
ENSG00000188761	6.34483268147525
ENSG00000282164	6.33745670065806
ENSG00000175213	6.33721407548753
ENSG00000197050	6.33425651105912
ENSG00000113070	6.32639026662611
ENSG00000196660	6.31884975634456
ENSG00000182903	6.3141187421881
ENSG00000106258	6.31002500432073
ENSG00000116183	6.3097197554851
ENSG00000144119	6.30278583971996
ENSG00000116704	6.30150933928543
ENSG00000141431	6.29937646899411
ENSG00000235989	6.29762871694885
ENSG00000187193	6.29645132825481
ENSG00000111670	6.29391012662862
ENSG00000181788	6.29388451943302
ENSG00000080608	6.28433830341167
ENSG00000167895	6.28356344212286
ENSG00000213799	6.26708562982147
ENSG00000162702	6.265628008665
ENSG00000215769	6.25986960504023
ENSG00000110367	6.24604807976868
ENSG00000124171	6.24213012886007
ENSG00000113389	6.23892883274859
ENSG00000177981	6.23694797679122
ENSG00000206502	6.23098236430688
ENSG00000167193	6.22816834570712
ENSG00000171475	6.2280185486218
ENSG00000164128	6.22723249426832
ENSG00000178217	6.21794887105211
ENSG00000177272	6.21434342633522
ENSG00000197024	6.21004686040532
ENSG00000124406	6.20841071846421
ENSG00000275111	6.20042562454964
ENSG00000111913	6.19971883717546
ENSG00000157778	6.19903684725394
ENSG00000176715	6.19159784979819
ENSG00000105866	6.1887641213541
ENSG00000136383	6.18873053254763
ENSG00000138081	6.18490789792374
ENSG00000196371	6.17424362961266
ENSG00000124459	6.16419175477831
ENSG00000065615	6.16053185713296
ENSG00000135127	6.15829392000381
ENSG00000145864	6.14393162485267
ENSG00000078687	6.14312450864616
ENSG00000118514	6.13473239972881
ENSG00000287707	6.1235448078692
ENSG00000138166	6.1231235759336
ENSG00000173875	6.12244323058305
ENSG00000150275	6.11863465298556
ENSG00000105671	6.11579808715827
ENSG00000198855	6.11364265466826
ENSG00000129437	6.11332273873031
ENSG00000156232	6.10901198634497
ENSG00000281766	6.10488828060925
ENSG00000116985	6.10375958966727
ENSG00000155961	6.09971319252332
ENSG00000203880	6.09865276867923
ENSG00000002834	6.09697255278086
ENSG00000163625	6.0877381198344
ENSG00000163684	6.07948013672818
ENSG00000005810	6.07926238197492
ENSG00000135241	6.07911197374629
ENSG00000152315	6.07048862252844
ENSG00000180113	6.07021332524253
ENSG00000145861	6.06353091553494
ENSG00000278129	6.06308969640767
ENSG00000162231	6.0624038491069
ENSG00000036257	6.06230540835594
ENSG00000214367	6.06014576648058
ENSG00000168758	6.0593279235585
ENSG00000177125	6.05513167885374
ENSG00000182722	6.04872379697085
ENSG00000107362	6.04807102548523
ENSG00000168952	6.04109784268439
ENSG00000105088	6.03100636290188
ENSG00000197405	6.02825403026259
ENSG00000154328	6.02777030161465
ENSG00000148634	6.02579896536396
ENSG00000196793	6.02522942756303
ENSG00000154655	6.02419781135957
ENSG00000127124	6.02338132884741
ENSG00000138593	6.02096293344732
ENSG00000260317	6.01457315291136
ENSG00000173581	6.01344004376361
ENSG00000139718	6.01106429317914
ENSG00000162298	6.01041593925388
ENSG00000205659	6.0059064768118
ENSG00000300598	6.00277172184615
ENSG00000213762	6.00213321605572
ENSG00000215475	6.00150528991926
ENSG00000140632	5.99792296229341
ENSG00000213626	5.99449899672164
ENSG00000284879	5.99136217196829
ENSG00000142002	5.98996644045185
ENSG00000166847	5.98561496977005
ENSG00000145191	5.98081172002468
ENSG00000100056	5.96209076272803
ENSG00000111907	5.96194995974377
ENSG00000163558	5.95534856610915
ENSG00000177479	5.94811715445757
ENSG00000125848	5.94657473645167
ENSG00000067248	5.92617589577466
ENSG00000070444	5.9257850927035
ENSG00000110497	5.919041142575
ENSG00000023909	5.91812736007086
ENSG00000167968	5.91046688464472
ENSG00000180628	5.90791413236977
ENSG00000187866	5.90486772884445
ENSG00000181555	5.90478889512975
ENSG00000152061	5.90381090389184
ENSG00000136819	5.90365464722629
ENSG00000085274	5.89689813118104
ENSG00000070669	5.89091307078225
ENSG00000120129	5.8857863702405
ENSG00000214900	5.88090419291992
ENSG00000214694	5.88086362197076
ENSG00000119973	5.87667843483095
ENSG00000111897	5.87626949197004
ENSG00000174564	5.87394997341856
ENSG00000188315	5.86609214085297
ENSG00000248213	5.86582941396244
ENSG00000185880	5.86295044248004
ENSG00000086730	5.8547565758807
ENSG00000143669	5.85425538875941
ENSG00000103042	5.85254607465722
ENSG00000163743	5.84880136207211
ENSG00000234771	5.84798272957386
ENSG00000108819	5.84732715398429
ENSG00000188215	5.83809189181608
ENSG00000151726	5.83224189265812
ENSG00000175564	5.82563880329867
ENSG00000155970	5.81306873937697
ENSG00000258521	5.80853735009263
ENSG00000180720	5.80780748286255
