gene_id	ranks
ENSG00000153982	4.04092114539299
ENSG00000279489	4.03975008326563
ENSG00000033122	4.03628167365523
ENSG00000105514	4.0282463754679
ENSG00000280106	4.02378116014264
ENSG00000083814	4.01575831217622
ENSG00000124507	4.01290202240663
ENSG00000015153	4.01230657829386
ENSG00000241359	4.01183107724222
ENSG00000048052	4.00879184619017
ENSG00000184271	4.00808448323697
ENSG00000151470	4.00163048765191
ENSG00000137764	4.00129963386081
ENSG00000197291	3.99991115390037
ENSG00000010310	3.99798476565269
ENSG00000170500	3.99724998556839
ENSG00000102804	3.99694858992611
ENSG00000108961	3.99514452833043
ENSG00000105426	3.9857009756112
ENSG00000267565	3.98402042608469
ENSG00000164588	3.98329530491337
ENSG00000188000	3.98017095670304
ENSG00000269397	3.97152951410808
ENSG00000286971	3.95682093411524
ENSG00000152779	3.94292915363493
ENSG00000178201	3.94189322984868
ENSG00000226396	3.94118539294243
ENSG00000104866	3.93097402951175
ENSG00000186577	3.92549080566602
ENSG00000260418	3.92467963398794
ENSG00000187231	3.92385740541991
ENSG00000233429	3.92002352009637
ENSG00000184185	3.91481574736718
ENSG00000278875	3.91299462095244
ENSG00000272335	3.91021758369142
ENSG00000197977	3.90987147973463
ENSG00000225630	3.90889564352467
ENSG00000137872	3.90565532084888
ENSG00000172260	3.90550279516973
ENSG00000205853	3.9012941084568
ENSG00000151702	3.90061540415443
ENSG00000151240	3.8993649376484
ENSG00000164120	3.89610868487804
ENSG00000272888	3.89567150157646
ENSG00000247095	3.89089730914607
ENSG00000101162	3.88494258272376
ENSG00000137491	3.8836566962181
ENSG00000120875	3.88070392988153
ENSG00000081181	3.88042749637983
ENSG00000140386	3.87782825437061
ENSG00000089818	3.87141183808631
ENSG00000163947	3.87073796413503
ENSG00000074527	3.86868294285939
ENSG00000105327	3.86544552704917
ENSG00000173452	3.86406015376508
ENSG00000184221	3.8557199760607
ENSG00000166848	3.85558942139575
ENSG00000178297	3.85556241252933
ENSG00000152465	3.85232739293507
ENSG00000138785	3.8510419550088
ENSG00000303940	3.8509350285731
ENSG00000292308	3.84949634945827
ENSG00000171931	3.84226047162343
ENSG00000184388	3.84163730151549
ENSG00000233611	3.83906466410458
ENSG00000083454	3.83893810947897
ENSG00000015592	3.83569457641111
ENSG00000067829	3.83300940722119
ENSG00000261115	3.82693629469174
ENSG00000145293	3.82147641310176
ENSG00000147041	3.82109594384198
ENSG00000137752	3.8202773384648
ENSG00000159871	3.81608030705804
ENSG00000258983	3.81517393140404
ENSG00000188916	3.81494927792028
ENSG00000108733	3.81390245124066
ENSG00000132406	3.813789992794
ENSG00000177030	3.81253142991787
ENSG00000177990	3.80965797667819
ENSG00000159915	3.79539406304351
ENSG00000173991	3.79463187342298
ENSG00000152061	3.79436021460419
ENSG00000099769	3.79401205159069
ENSG00000162998	3.79363198806079
ENSG00000189283	3.79147096403101
ENSG00000068831	3.78483778900064
ENSG00000144583	3.78235227857701
ENSG00000180730	3.77964441016884
ENSG00000279696	3.77742287775845
ENSG00000183775	3.77470370961142
ENSG00000100078	3.77467054356632
ENSG00000227811	3.77416365434349
ENSG00000061938	3.75958570214473
ENSG00000149292	3.75430603412687
ENSG00000203880	3.75092272697387
ENSG00000226686	3.74402747523229
ENSG00000305306	3.74038848283559
ENSG00000163888	3.73928953899729
ENSG00000136352	3.73270264386483
ENSG00000144460	3.72991085931308
ENSG00000249859	3.72842684496579
ENSG00000138138	3.72757553117685
ENSG00000161798	3.72721896255928
