#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04550	Signaling pathways regulating pluripotency of stem cells	8	141	1.16	1.46	4.61e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,GRB2,PIK3R1,CTNNB1,PIK3CB
hsa04923	Regulation of lipolysis in adipocytes	6	54	1.45	1.69	4.73e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa04914	Progesterone-mediated oocyte maturation	7	95	1.28	1.54	5.45e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04932	Non-alcoholic fatty liver disease	8	146	1.15	1.43	5.74e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000497733,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,MAPK9,PIK3R1,CDC42,PIK3CB
hsa04150	mTOR signaling pathway	8	150	1.13	1.4	6.92e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000376345,9606.ENSP00000384675,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,GRB2,SOS1,PIK3R1,PIK3CB
hsa04218	Cellular senescence	8	150	1.13	1.4	6.92e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000289104,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000468348,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,MRAS,PIK3CD,PIK3R1,MAP2K6,PIK3CB
hsa04213	Longevity regulating pathway - multiple species	6	61	1.4	1.6	8.72e-07	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa04530	Tight junction	8	157	1.12	1.36	9.34e-07	9606.ENSP00000286827,9606.ENSP00000295797,9606.ENSP00000362680,9606.ENSP00000363921,9606.ENSP00000381070,9606.ENSP00000382423,9606.ENSP00000394560,9606.ENSP00000497733	TIAM1,PRKCI,SRC,PARD3,MAP2K7,MAP3K1,MAPK9,CDC42
hsa04929	GnRH secretion	6	63	1.39	1.57	1.02e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	6	65	1.37	1.55	1.20e-06	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000394560,9606.ENSP00000410402,9606.ENSP00000482457,9606.ENSP00000497733	EGFR,SRC,MAPK9,MAP2K4,PLCG2,CDC42
hsa04725	Cholinergic synapse	7	109	1.22	1.43	1.21e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000346671,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,FYN,PIK3CD,PIK3R1,PIK3CB
hsa01524	Platinum drug resistance	6	70	1.34	1.49	1.76e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa05017	Spinocerebellar ataxia	7	135	1.12	1.25	4.65e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,MAPK9,PIK3R1,PIK3CB
hsa04211	Longevity regulating pathway	6	87	1.25	1.33	5.71e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa05222	Small cell lung cancer	6	92	1.22	1.28	7.69e-06	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa05146	Amoebiasis	6	101	1.18	1.22	1.27e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
